flujo_caja_promedio,nivel_endeudamiento,variabilidad_ingresos,liquidez_corriente,margen_operativo,cobertura_interes,roe,roa
0.0,1.0,1.0,0.3922294172062905,0.0,0.0550682519297223,1.0,0.2823529411764706
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0108574207078626,1.0,0.9890141554167204,0.0,0.0,0.0550682519297223,0.7983870967741935,1.0
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0094266638336529,1.0,1.0,0.0311440024668516,0.0,0.0550682519297223,0.0,0.0
0.0094266638336529,0.0,1.0,0.0012334258402713,0.0,0.0550682519297223,0.0,0.0
0.0082975518606404,1.0,1.0,0.0,0.0,0.0550682519297223,0.0483870967741935,0.0235294117647058
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.6505593013691432,0.0,0.6133483233611616,0.0317607153869873,0.0,0.0550682519297223,0.0080645161290322,0.0
0.0,0.886309380234596,0.9610331816597556,0.0003083564600678,0.0,0.3803605237723259,0.7903225806451613,0.0117647058823529
0.009487397015228,1.0,0.8997145584067312,0.003700277520814,0.1234828496042216,0.0550682519297223,0.0403225806451612,0.0
0.3482020146269908,1.0,0.6820794077773961,0.0120259019426457,0.0,0.0550682519297223,0.064516129032258,0.0352941176470588
0.6125086501016721,0.6400901640427782,0.3396267095332346,0.0684551341350601,0.0,0.0651835718730553,0.064516129032258,0.0588235294117647
0.0160123779836527,1.0,0.9672973166643576,0.0083256244218316,0.0,0.0550682519297223,0.0,0.0
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0087139435995992,1.0,0.9982520598630232,0.0,0.0,0.0550682519297223,1.0,1.0
0.0094266638336529,1.0,1.0,0.0157261794634597,0.0,0.0550682519297223,0.0,0.0
0.0073773759347123,1.0,0.998975655123974,0.0,0.0,0.0550682519297223,0.9193548387096774,1.0
0.0134188600188728,1.0,0.9785868055406466,0.0268270120259019,0.0,0.0550682519297223,0.1774193548387097,0.1176470588235294
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0107204814146037,1.0,0.9528310449339408,0.0693802035152636,0.0,0.0587092375114194,0.1129032258064516,0.0823529411764706
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0414000064208798,1.0,0.898434516979882,0.5849522047486895,1.0,0.5268473036846775,0.2661290322580645,0.3647058823529411
0.0118211319496208,1.0,0.98172025729278,0.0,0.0,0.0550682519297223,0.0,0.0
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0094266638336529,0.0,1.0,0.03422756706753,0.0,0.0550682519297223,0.0,0.0
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0054964366047921,1.0,1.0,0.0,0.0,0.0550682519297223,0.1935483870967742,0.2823529411764706
1.0,0.8251868286071466,0.0,0.482886216466235,0.1868073878627968,0.0555117901733109,0.0080645161290322,0.0
0.004195899498453,1.0,0.9909233959148724,0.0690718470551958,0.0,0.1430013637145997,0.282258064516129,0.2235294117647059
0.0669929021988012,0.0,0.918297915717956,0.0277520814061054,0.0,0.0609269287293622,0.0483870967741935,0.0
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
1.0,1.0,0.0490834319623708,0.0117175454825778,0.0,0.0550682519297223,0.0806451612903225,0.0352941176470588
0.0094266638336529,1.0,0.9802014717366484,0.0450200431699044,0.0,0.0550682519297223,0.0,0.0
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0829927743990922,1.0,0.9410193190471304,0.015109466543324,0.0,0.0550682519297223,0.0403225806451612,1.0
0.0266792512306707,1.0,0.9200428127319766,0.1100832562442183,0.0,0.0902732725178408,0.2419354838709677,0.2705882352941177
0.2587438660838237,1.0,0.8172991661037786,0.0388529139685476,0.0,0.0550682519297223,0.0887096774193548,0.0235294117647058
0.0573402138698779,0.6785705726936408,0.6156322168287156,0.0431699044094973,1.0,0.0980120218723934,0.0241935483870967,0.0235294117647058
0.0094267539422309,1.0,0.9999999480442422,0.0,0.0,0.0550682519297223,0.0080645161290322,0.0117647058823529
0.064232451656941,1.0,0.9222223790378944,0.1424606845513413,0.0,0.0550682519297223,0.3870967741935484,0.4705882352941177
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0052368337915611,1.0,1.0,0.0,0.0,0.0550682519297223,0.1209677419354838,0.0235294117647058
0.0104629124807048,1.0,0.9994025087854496,0.0,0.0,0.0550682519297223,0.0,0.0
0.0094587424874225,1.0,0.9988948861873684,0.0,0.0,0.0550682519297223,0.0080645161290322,0.0117647058823529
0.1612942967011326,0.9103359613551512,0.879438074282995,0.1288930003083564,0.1931398416886543,0.0578552608931668,0.0161290322580645,0.0235294117647058
0.030898688376964,0.0,0.8804047631123798,0.0481036077705828,0.0,0.0950528935905413,0.5241935483870968,0.2705882352941177
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0227840762386537,1.0,0.98970051324384,0.0021584952204748,0.0,0.0550682519297223,0.3225806451612903,0.0470588235294117
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
0.0094266638336529,1.0,1.0,0.0,0.0,0.0550682519297223,0.0,0.0
